Name,Town,Description
桃園火車站前商圈,桃園區,從銅板小吃到品牌名店，琳瑯滿目的美食就要躁動你的味蕾，接著以統領百貨為中心瘋狂採買，用新台幣把時尚潮流新玩意通通下架！
桃園忠烈祠暨神社文化園區,桃園區,請一同參與這場全台獨存的日本神社上演的穿越劇：沿著參道，緩步行經鳥居、手水舍直至本殿，典雅肅穆的唐風建築，帶你走入昭和時代。
景福宮,桃園區,歷經歲月洗鍊的百年宮廟是地方上的信仰中心，每年開漳聖王聖誕、祈福建醮，全城鑼鼓喧闐，猶如一場民俗嘉年華，場面無比震撼！
奧爾森林學堂,桃園區,咻！坐上長長的溜滑梯，化身小飛俠乘風飛翔，好涼快又好開心，接著去空中樹屋拜訪松鼠先生、貓頭鷹小姐，一起開一場森林同樂會。
角板山行館,復興區,不管是帶有神秘色彩的戰備隧道或是記錄蔣家日常的行館，都令人充滿十足想像，凜冬時節，園中櫻梅盛開，更為旅行增添不少驚艷。
三民蝙蝠洞,復興區,來蝙蝠洞的亮點可不是追蝙蝠！而是打卡足以容納千人的半月形天然岩洞，加上魔幻綠色調的池灘，注意! 也許有小精靈隨時出沒!
東眼山森林遊樂區,復興區,飄渺雲海間，高聳杉木林挺拔向上，行走在海拔1212公尺的山巒間，享受天然森林浴的同時，也可一窺千年化石和珍稀山鳥。
羅浮橋,復興區,橫越石門水庫上游的羅浮橋，既名列為北橫名橋之一，又是東南亞數一數二的大跨徑拱橋﹔絕美的大紅弧線映襯著秀麗山水，教人讚嘆。
拉拉山巨木區,復興區,行走木棧步道的旅人，來和這座森林的守護者一起吸收大地日月精華，感受千年如一刻的雋永古韻﹔昇起的感動就如芬多精，洗滌身心。
綠光森林,復興區,挑張彩色椅，坐看雲海彩霞落羽松、園裡餵食小綿羊，療癒你的心、三五好友BBQ，歡樂無極限…，不一會兒的時間你就會戀上這片山。
中央大學,中壢區,追星族一眼必認出的「中大十景」﹔告白必勝的大草坪、細雨耍浪漫的中大池、令人心跳加速的情人步道…戲劇熱門取景地，朝聖踩點去！
大江國際購物中心,中壢區,不管去幾次都不膩的大江，裡頭有著高規格的星橋影城、個性風的服飾品牌、全台獨家的主題餐廳、還有超好拍的裝置藝術，改天還要衝一波！
黑松飲料博物館,中壢區,勾起許多人兒時回憶的老牌飲料，從1925年推出第一瓶彈珠汽水後就成了｢台灣味｣的代名詞，來一趟博物館，帶你探尋台式飲料文化。
憶聲電子文物館,中壢區,在AI當道的數位時代，帶你一路回顧黑白電視、時鐘收音機，到現今市場最火紅的3C產品，綜觀台灣電子發展史，絕對使你眼睛一亮。
郭元益糕餅博物館,楊梅區,揉揉麵糰，今天想做鳳梨酥還是冰沙餡餅﹖來創意烘焙坊，一圓廚師夢！不只這樣，還要大解密全台最長的隧道爐，了解郭元益飄香百年的秘訣。
雅聞魅力博覽館,楊梅區,歐風玫瑰花園、峇里島發呆亭、香氛步道走廊，讓人一踏進園區就有滿滿度假感，館內另規劃沐浴球、香氛娃娃DIY，小巧可愛適合當紀念品。
台塑企業文物館,龜山區,張張泛黃的照片、影音資料等豐富文物，揭露台塑企業如何從小規模的公司，成為台灣塑膠產業龍頭，繼而挺進世界舞台的過程。
桃園酒廠,龜山區,享譽國際的玉泉清酒是怎麼製作的﹖來趟酒廠除了認識隱藏在溫潤口感之下的文化內涵，還能DIY酒粕皂、鹽麴，深究清酒之奧妙。
可口可樂世界,桃園區,9大展區帶你一探橫掃全球的紅色旋風﹔錯過太可惜的絕版商品、19世紀美國街道神還原、見證榮耀的奧運聖火把…，可樂迷必訪。
南僑桃園生活體驗園區,龜山區,跟著大廚親手體驗製作披薩、泰式春捲、泰式青木瓜沙拉的樂趣；同樣也好玩的水晶肥皂打印體驗，帶一塊專屬於自己的水晶肥皂作紀念。
台茂購物中心,蘆竹區,吃美食、看電影不稀奇，台茂獨創全台，把5500坪公園搬進商場！巨型攀爬索、彩虹直排輪、共融式鞦韆等新型遊具，就是要你玩到瘋！
竹圍漁港,大園區,幾乎沒有人能抵擋新鮮海鮮的美味逆襲，跟港口賞夕陽、看飛機同樣需列入行程清單的逛漁市，讓荷包君不必哭泣就能滿足吃貨的胃。
義美食品生產．生態．生活廠區（觀光工廠）,蘆竹區,探索傳統餅製程、發掘老故事，看老字號品牌如何從街頭小攤搖身一變糕餅龍頭﹖還有讓大人小孩都輕鬆上手的定番西點手作，趣味十足！
溪海休閒農業園區,大園區,捲起袖子種瓜、養雞、桿麵，手把手體驗農人日常﹔園區四季都是花季，海芋鬥艷的時節，繽紛多彩尤其令人為之一亮。
白沙岬燈塔,觀音區,從日治時期便屹立於此的老燈塔和老苦楝樹，數年如一日的持續守望著出外人回家的路，廣場設有步道、涼亭，漫步其中感受悠悠時光。
觀音自行車道,觀音區,白千層林道引領你通往一場與農村共舞的時光，逗趣的草編裝置藝術迎接遠來的你，還有沿途一座座的埤塘和蓮田都是獨家風景。
甘泉寺,觀音區,想了解觀音地名由來必須造訪的百年宮廟，廟內供俸石觀音佛祖，而享有盛名的觀音聖水，長年來已有不計其數的信徒前來朝聖。
范姜老屋群,新屋區,屋簷燕尾、門楣匾額、卍字牆面…走讀百年客家老屋群，樸實的紅磚平房低調顯露范姜家族的名門風範，而這裡也是新屋地名的起源地。
老K舒眠文化館,新屋區,睡眠是日常生活中最重要的小事，來老K帶你體驗好床，館內可試躺電動按摩床、精油按摩床等頂級床墊，教你寵愛自己就從睡好開始。
新屋綠色走廊,新屋區,沿途坡道平緩、綠蔭滿佈，旅行的意義不再是騎乘公里數，而是全家大小一起踩著四輪、迎著徐徐海風、談天說地的快樂時光。
