Name,Town,Description,seg
桃園火車站前商圈,桃園區,從銅板小吃到品牌名店，琳瑯滿目的美食就要躁動你的味蕾，接著以統領百貨為中心瘋狂採買，用新台幣把時尚潮流新玩意通通下架！,"['銅板', '琳瑯', '躁動', '接著', '以統', '領百貨', '瘋狂', '採買', '台幣', '時尚', '下架', '名店', '味蕾', '玩意', '通通', '小吃', '美食', '潮流', '品牌', '就要', '目的', '中心']"
桃園忠烈祠暨神社文化園區,桃園區,請一同參與這場全台獨存的日本神社上演的穿越劇：沿著參道，緩步行經鳥居、手水舍直至本殿，典雅肅穆的唐風建築，帶你走入昭和時代。,"['參與', '這場', '獨存', '沿著', '參道', '經鳥', '手水舍', '本殿', '肅穆', '唐風', '建築', '時代', '全台', '昭和', '神社', '走入', '典雅', '穿越', '步行', '上演', '一同', '直至', '日本']"
景福宮,桃園區,歷經歲月洗鍊的百年宮廟是地方上的信仰中心，每年開漳聖王聖誕、祈福建醮，全城鑼鼓喧闐，猶如一場民俗嘉年華，場面無比震撼！,"['歷經', '宮廟', '開漳聖', '王聖誕', '建醮', '鑼鼓', '喧闐', '猶如', '一場', '嘉年華', '場面', '祈福', '民俗', '震撼', '全城', '百年', '信仰', '每年', '中心', '地方']"
奧爾森林學堂,桃園區,咻！坐上長長的溜滑梯，化身小飛俠乘風飛翔，好涼快又好開心，接著去空中樹屋拜訪松鼠先生、貓頭鷹小姐，一起開一場森林同樂會。,"['溜滑梯', '小飛俠', '乘風', '飛翔', '好涼', '開心', '接著', '樹屋', '拜訪', '貓頭鷹', '開一場', '同樂會', '松鼠', '坐上', '化身', '小姐', '空中', '森林', '先生', '一起']"
角板山行館,復興區,不管是帶有神秘色彩的戰備隧道或是記錄蔣家日常的行館，都令人充滿十足想像，凜冬時節，園中櫻梅盛開，更為旅行增添不少驚艷。,"['戰備', '記錄', '蔣家', '行館', '充滿', '凜冬', '時節', '園中', '櫻梅', '盛開', '更為', '驚艷', '神秘色彩', '想像', '十足', '旅行', '增添', '隧道', '日常', '或是', '令人', '不管', '不少']"
三民蝙蝠洞,復興區,來蝙蝠洞的亮點可不是追蝙蝠！而是打卡足以容納千人的半月形天然岩洞，加上魔幻綠色調的池灘，注意! 也許有小精靈隨時出沒!,"['蝙蝠洞', '打卡', '亮點', '容納千人', '綠色', '池灘', '許有', '精靈', '隨時', '魔幻', '半月形', '岩洞', '蝙蝠', '可不是', '足以', '天然', '加上', '注意', '而是']"
東眼山森林遊樂區,復興區,飄渺雲海間，高聳杉木林挺拔向上，行走在海拔1212公尺的山巒間，享受天然森林浴的同時，也可一窺千年化石和珍稀山鳥。,"['飄渺', '雲海間', '高聳', '1212', '山巒間', '森林浴', '同時', '山鳥', '公尺', '挺拔', '杉木', '珍稀', '千年', '行走', '化石', '天然', '享受', '海拔', '向上']"
羅浮橋,復興區,橫越石門水庫上游的羅浮橋，既名列為北橫名橋之一，又是東南亞數一數二的大跨徑拱橋﹔絕美的大紅弧線映襯著秀麗山水，教人讚嘆。,"['橫越', '石門', '水庫', '浮橋', '為北橫', '名橋', '東南亞數', '一數', '跨徑', '拱橋', '美的', '大紅', '弧線映', '襯著秀麗', '名列', '山水', '上游', '之一']"
拉拉山巨木區,復興區,行走木棧步道的旅人，來和這座森林的守護者一起吸收大地日月精華，感受千年如一刻的雋永古韻﹔昇起的感動就如芬多精，洗滌身心。,"['步道', '木棧', '這座', '守護者', '精華', '永古韻', '感動', '如芬', '洗滌', '旅人', '身心', '日月', '一刻', '千年', '行走', '大地', '感受', '森林', '吸收', '一起']"
綠光森林,復興區,挑張彩色椅，坐看雲海彩霞落羽松、園裡餵食小綿羊，療癒你的心、三五好友BBQ，歡樂無極限…，不一會兒的時間你就會戀上這片山。,"['挑張', '看雲海', '落羽松', '園裡', '食小綿', 'BBQ', '歡樂', '無極限', '不一會兒', '時間', '會戀', '片山', '彩霞', '三五', '好友', '彩色']"
