時間,星等,評價
11月28日,1,"明明訂位了 然後要等待位等了15分鐘 結果1&2樓超空真的不知道要等什麼？？？
訂三人位只附2人餐具
要餐具只給湯匙叉子忘了刀子
然後又要再跟服務生要一次刀子
馬桶衛生紙男女廁都沒有 請他補
也補一半 補女廁不補男廁
凡事都只做一半
上菜餐點也減一半
點了海鮮歐姆蕾 上面材料寫雙重起司 結果也沒有
牛排班尼蛋 肉還是冷的
無奈"
11月27日,4,多種美味的食物和飲料
11月27日,5,好吃!帶國外來的朋友來非常滿意～～
11月27日,3,出餐速度慢，如有趕時間建議外帶。
11月21日,5,適合聚餐，餐點好吃
11月14日,4,環境很好，服務佳，brunch口味也不錯，值得再訪。
11月13日,4,尚可
11月12日,4,洗手間比較不便，還有不好停車
11月12日,5,"到師大的貳樓看書 大啖美食。
我點的牛排早午餐要540 ，水波蛋咖喱烤餅飯要290 ，雖然價位較高 ，但是真的很好吃唷！
切好的牛排不油膩，也沒有多餘的筋絲，好吃。橙香軟法烤麵包，軟甜適中回味無窮，好吃。薯條不油，卻又酥脆爽口，欲罷不能。生菜搭配胡麻醬，也是一絕。搭配的桑椹綜合果汁，好喝到不行。黑咖啡濃郁順口，有點像土耳其咖啡，但是沒有渣渣浮起。
水波蛋咖喱烤餅飯，對台灣人算特別的，但我心裡最好吃的烤餅，是埃及北都因的超薄烤餅。烤餅飯的主菜是櫛瓜玉米筍加上紅椒雞胸肉，米飯中有莫名的瓜，嚐起來特別好吃，難怪貳樓門市一間一間開，就是得到食客的肯定。
目前樓上的空間，還有搭配果陀劇場的演出，算是另類特色
只是這裡停車費用，有每小時70到110的，價位偏高，所以搭捷運來的CP值高。"
11月12日,5,"11/12用餐
氣氛好、服務也好的餐廳，去過貳樓的三家分店，最喜歡師大這家的氛圍  
我們是帶狗狗去用餐，服務人員很貼心的幫我們安排位置，還為狗狗送上水跟嫩蛋。
特別稱讚外場的一位短頭髮女服務員認真又親切，讓我們度過了美好的一天"
11月11日,5,特殊餐點：有準備給毛小孩的食物雞胸肉跟嫩蛋，家裡的狗狗很喜歡
11月10日,3,"ㄧ直都在仁愛路吃早午餐，
第一次到師大路，可能是因為不習慣，
今天的早午餐麵包吃起來覺得塗的奶油有很濃的香水味，我們四個人都是同樣的覺得。"
11月10日,5,還不錯 店員親切
11月10日,5,"今天帶狗狗來用餐，服務人員Sophia 態度很親切，也會適時的關心顧客用餐狀況（還有關心狗狗）,很開心的一餐"
11月9日,5,服務生很體貼 幫忙搬嬰兒車 餐點好吃 就是環境裝潢舊 5差了點
11月8日,3,"服務人員態度親切，送餐速度快速，環境舒適；惟有點餐系統，有待優化
1.掃描點餐QR CODE 後，選完餐點要加購180元附餐，必須先將餐點加入購物車後，跳出選單，再滑至180元附餐加購，這部分使用上不是很好上手
2.點餐系統上，沒有附上餐點照片，畢竟貳樓餐點選項很多，若能附上照片，會讓點餐速度更快速
3.一桌點餐，只能使用一隻手機共同點餐；這次我們6個人點餐，光是2個人點餐就花了不少時間；若店家能提供一桌一Ipad 點餐會相對方便點
感謝這次服務人員幫忙點餐"
11月6日,1,櫃台服務差
11月5日,5,服務佳、用餐環境整潔；服務人員都很有熱忱，會貼心地留意客人需求。
11月5日,4,"感覺人手不足，服務生太忙，送餐、續杯、結帳都有點慢，希望能改進
其他部分則不錯"
11月4日,2,吃了同一家店四年，用料從普通變不扎實．
11月4日,5,內用跟外帶都有使用過，不得不說品質真的很棒，外帶也不影響口感
11月3日,3,這次來看我們分手吧，在用餐前演員們會跟大家互動，每個橋段跟上餐都配合的很好，餐點非常好吃，下次也會想參加類似的活動。
11月2日,1,佈置裝飾很漂亮
11月1日,5,新鮮味美、服務親切、環境整潔、很美好的用餐地點！
