ACCTIME,PLACE,DEAD,HURT,CARTYPE,RSN
時間,地點,死亡,受傷,車種,主要肇事型態
10:30,雲林縣麥寮鄉三盛村工業路520巷1號附近,4,3,自小客車、自小客車,側撞
20:59,國道5號北向轉國道3號南向系統匝道,33,11,營大客車,擦撞匝道外側護欄
7:20,苗栗縣苑裡鎮上館里75-7號(苗43線1.6公里處附近),3,1,營大貨車、自大貨車,自撞電線桿
8:20,臺北市士林區仰德大道3段與新安路口,4,10,營大貨車、自小客車、普通重機,側撞、對撞
21:49,屏東縣萬丹鄉西環路與和平西路口及西環路與萬壽路口,3,7,自小貨車、自小客車,追撞、側撞
23:35,國道1號北向347.9公里處,6,11,營大客車,自撞內側護欄
15:10,南投縣仁愛鄉台14甲線7.5公里處,1,23,營大客車,自撞路樹
15:15,國道3號南向189公里處,3,0,營大貨車、自小客車,跨越中央分隔帶護欄對撞
8:40,國道3號南向382.6公里處,4,0,營大客車、自小客車,追撞
15:14,國道1號南向41.3公里處,3,3,營小貨車、自小客車、自小貨車、租賃小貨車、自小客車、營大貨車,追撞
15:28,雲林縣土庫鎮新庄里雲103與雲88公路口,2,12,自小貨車、自小客貨車,側撞
4:37,國道1號南向308公里100公尺處,3,1,營大貨車、自大貨車、警備車,追撞
2:22,彰化縣芳苑鄉台17線與芳漢路王功段路口,4,0,自小客車,自撞牌樓
2:58,彰化縣伸港鄉蚵寮村台61線169公里處,1,0,營半聯結車,自撞分隔島護欄
2:15,國道2號東向19.6公里處,3,1,自小客車、自小貨車,追撞
17:45,臺北市松山區南京東路4段19號前,3,1,自小客車、自小貨車,追撞
4:20,國道1號北向138.8公里處,3,3,自小貨車、自小客車,追撞
22:50,臺中市大里區環中東路六段與大里橋頭路口,3,4,自小客貨車、計程車、自小客車,路口交叉撞
16:45,國道3號南向192.2公里外側車道,1,21,自小客車、營大客車,同向擦撞
21:50,國道1號南向205公里處,3,13,營大客車,衝出路外
6:40,桃園市蘆竹區大竹路288巷與上竹路口處,3,4,營小貨車、自小客車,撞路邊停車
8:50,臺中港區南橫八路與中南一路路口處,0,1,營曳引車,路上翻車、摔倒（危險物品洩漏）
22:04,桃園市大園區大竹南路17號附近彎道,3,0,自小客車,撞號誌、標誌桿
12:00,台北市北投區湖山路與勝利街口,0,24,營大客車,追撞
8:25,國道3號南向12.2公里處,1,19,營大客車、自小貨車、自小客車,追撞
0:10,國道3號南向196公里處,1,0,營曳引車,撞護
2:16,國道4號東向11.4公里處,4,2,自小客車,撞護
12:34,南投縣仁愛鄉親愛村奧萬大聯外道路1.5公里處,1,20,營大客車,路上翻車
15:00,臺東縣達仁鄉臺九戊線10.8公里處,1,0,營業曳引車,衝出路外(附載甲醇氣體燃燒)
23:52,臺南市安南區台江大道二段201號前,6,0,自小客車,撞建築物
7:30,雲林縣口湖鄉台61線快速道路北上255公里處,2,8,自小貨車、自小客車、自大貨車、營業曳引車、營大貨車,追撞
16:22,宜蘭縣南澳鄉台9線114.7公里,6,39,營大客車,自撞
14:03,臺中市梧棲區台61線快速道路北上153公里處,3,0,自大貨車、自小客車,追撞
4:07,臺南市安南區臺江大道三段往西近電桿(編號：溪心寮高分10右1M9303GA40)處,3,0,自小客車,追撞
10:23,宜蘭縣蘇澳鎮蘇濱路一段與海山東路口,0,1,營業曳引車,路上翻車(附載硫酸外洩)
6:40,新北市瑞芳區臺2線79.7公里處,0,0,營業曳引車,路上翻車(附載硫酸外洩)
11:17,桃園市蘆竹區山林路三段932巷口,0,1,營業曳引車,路上翻車(附載過氧化氫外洩)
5:44,南投縣水里鄉省道臺21線79公里處,0,20,自小客貨車、自小貨車,對撞
